time_s,measured_displacement_mm,predicted_displacement_mm,measured_force_N,predicted_force_N,displacement_error_mm,force_error_N
0.686,-3.8787,-3.9149783,0.0046127,0.0055985563,0.036278248,-0.0009858562
0.688,-3.5781999,-3.612644,0.0074406005,0.0086242845,0.034444094,-0.001183684
0.69,-3.2718997,-3.303465,0.010921,0.0121789705,0.03156519,-0.0012579709
0.692,-2.9613,-2.9869766,0.015199,0.01626953,0.025676727,-0.0010705292
0.694,-2.6471,-2.6638904,0.02044,0.020956943,0.01679039,-0.00051694363
0.696,-2.3295,-2.3359535,0.026338,0.026298454,0.006453514,3.954582e-05
0.698,-2.0086,-2.004664,0.032573,0.031865187,-0.0039360523,0.0007078126
0.7,-1.6845,-1.6727072,0.03867,0.03744302,-0.011792779,0.0012269802
0.702,-1.3574,-1.3414265,0.044207,0.042904533,-0.015973449,0.0013024658
0.704,-1.0286,-1.0097516,0.048897,0.048208218,-0.01884842,0.0006887801
0.706,-0.69969,-0.6774863,0.052684,0.053023387,-0.022203684,-0.00033938512
0.708,-0.37274003,-0.3461871,0.055169,0.056467395,-0.026552916,-0.001298394
0.71,-0.05039203,-0.019554019,0.056011,0.057574622,-0.030838013,-0.0015636235
0.712,0.26363003,0.29855347,0.055368,0.05653705,-0.034923434,-0.001169052
0.714,0.5662701,0.60448813,0.053905,0.05427528,-0.03821802,-0.00037028268
0.716,0.8531699,0.8953767,0.052809,0.051682703,-0.042206764,0.0011262968
0.718,1.1241,1.1670222,0.049306,0.049742952,-0.04292226,-0.00043695047
0.72,1.3739998,1.4198709,0.045756,0.04522637,-0.04587102,0.000529632
0.722,1.6023998,1.6497331,0.040602,0.040343642,-0.04733324,0.00025835633
0.724,1.8055999,1.8550155,0.035412,0.034042016,-0.04941559,0.001369983
0.726,1.9793,2.0310516,0.032831,0.028727293,-0.051751614,0.0041037053
0.728,2.1206002,2.1740828,0.027969,0.027182203,-0.053482533,0.0007867981
0.73,2.2288,2.2799175,0.023476,0.023310136,-0.05111742,0.00016586483
0.732,2.3025997,2.3453338,0.019378,0.0189869,-0.042734146,0.00039110146
0.734,2.3402002,2.3713224,0.015614,0.014831818,-0.031122208,0.00078218244
0.736,2.3405,2.3633645,0.012063,0.011566911,-0.022864342,0.00049608946
0.738,2.3019998,2.3232687,0.0085768,0.008730248,-0.021268845,-0.0001534475
0.74,2.2282002,2.247976,0.0049767997,0.005656385,-0.019775867,-0.00067958515
0.742,2.1143,2.138583,0.0011248998,0.0020571556,-0.024282932,-0.00093225576
0.744,1.9581001,1.9880917,-0.0031409003,-0.0021154806,-0.029991627,-0.0010254197
0.746,1.7579,1.7924528,-0.007964201,-0.0068649147,-0.034552813,-0.0010992866
0.748,1.5117998,1.5486784,-0.013466999,-0.012143811,-0.036878586,-0.0013231877
0.75,1.2160001,1.2543807,-0.019534,-0.01796389,-0.038380623,-0.0015701093
0.752,0.8694401,0.9066031,-0.025419,-0.02425659,-0.03716302,-0.0011624098
0.754,0.47245002,0.50762606,-0.031602,-0.0302165,-0.03517604,-0.0013854988
0.756,0.023648024,0.062230587,-0.036393,-0.03604702,-0.038582563,-0.0003459826
0.758,-0.47285998,-0.42849123,-0.040318,-0.03969773,-0.044368744,-0.000620272
0.76,-1.0128,-0.9607895,-0.042237,-0.04143627,-0.052010477,-0.0008007288
0.762,-1.5873,-1.5305289,-0.041574,-0.040057763,-0.05677104,-0.0015162379
0.764,-2.1864,-2.1263983,-0.036892,-0.035810336,-0.06000161,-0.0010816641
0.766,-2.7942,-2.7346637,-0.030072,-0.029289097,-0.05953622,-0.0007829033
0.768,-3.3972998,-3.339055,-0.022705,-0.02290487,-0.058244705,0.00019986928
0.77,-3.9835,-3.9279764,-0.017711002,-0.01686459,-0.055523634,-0.00084641203
0.772,-4.5422,-4.4895124,-0.014098998,-0.013553025,-0.052687645,-0.00054597296
0.774,-5.0692,-5.0173993,-0.010807,-0.011522243,-0.051800728,0.0007152427
0.776,-5.558,-5.512639,-0.008333001,-0.009129718,-0.045361042,0.00079671666
0.778,-5.998,-5.9688396,-0.007168699,-0.007104989,-0.0291605,-6.3709915e-05
0.78,-6.3905,-6.3727283,-0.0056784004,-0.006294038,-0.01777172,0.00061563775
0.782,-6.7332,-6.722658,-0.0045333,-0.0051245186,-0.010541916,0.0005912185
0.784,-7.0177994,-7.014716,-0.0040242,-0.0041689333,-0.003083229,0.00014473312
0.786,-7.2438993,-7.242997,-0.003292501,-0.0036595017,-0.0009021759,0.0003670007
0.788,-7.4137993,-7.41265,-0.0026999004,-0.0028377753,-0.0011491776,0.00013787486
0.79,-7.5275993,-7.5291615,-0.0022027995,-0.002188027,0.0015621185,-1.4772639e-05
0.792,-7.5860996,-7.5920553,-0.0017636009,-0.0016908385,0.005955696,-7.276237e-05
